Count,avg,ROI px,R1-R2,G1-G2,R1-G1,R1-G2,R2-G1,R2-G2,PCCcrtion,PCCmean,PCCcorrect
207,9,775,0.97059,0.93083,0.94243,0.96588,0.94371,0.94872,1.05208,0.95019,0.99967
208,10,775,0.9726,0.93483,0.95199,0.93786,0.93311,0.94824,1.04874,0.9428,0.98875
209,10,775,0.97022,0.92086,0.94824,0.91504,0.937,0.93821,1.05796,0.93462,0.98879
210,10,775,0.97506,0.91633,0.93821,0.93827,0.92,0.94941,1.05793,0.93647,0.99072
211,10,775,0.97219,0.91033,0.94941,0.91437,0.93097,0.93088,1.06298,0.93141,0.99007
212,10,775,0.97134,0.91463,0.93088,0.93293,0.91609,0.95024,1.06094,0.93253,0.98936
213,10,775,0.97158,0.91564,0.95024,0.92665,0.92811,0.93841,1.06023,0.93585,0.99221
214,10,775,0.96793,0.92389,0.93841,0.93341,0.92586,0.94788,1.05747,0.93639,0.99021
215,10,775,0.96961,0.92482,0.94788,0.92177,0.93407,0.93347,1.05602,0.9343,0.98664
216,10,775,0.96998,0.92689,0.93347,0.95442,0.92556,0.95323,1.05464,0.94167,0.99312
217,10,775,0.96744,0.92755,0.95323,0.93286,0.9498,0.93345,1.05565,0.94234,0.99478
218,10,775,0.96719,0.923,0.93345,0.95265,0.93903,0.95097,1.05838,0.94403,0.99914
219,10,775,0.96731,0.93016,0.95097,0.94862,0.95605,0.94099,1.05424,0.94915,1.00064
220,10,775,0.97062,0.931,0.94099,0.96753,0.94541,0.95208,1.05196,0.9515,1.00094
221,11,775,0.9715,0.91394,0.94486,0.93548,0.91982,0.94665,1.06125,0.9367,0.99408
222,11,775,0.9678,0.9006,0.94665,0.90563,0.92791,0.93392,1.07113,0.92853,0.99457
223,11,775,0.97069,0.91021,0.93392,0.93179,0.91424,0.94894,1.06387,0.93222,0.99177
224,11,775,0.97132,0.90994,0.94894,0.92287,0.92821,0.93356,1.06369,0.9334,0.99284
225,11,775,0.97009,0.90834,0.93356,0.92979,0.91785,0.94785,1.06529,0.93226,0.99313
226,11,775,0.97001,0.90672,0.94785,0.91472,0.92872,0.93084,1.06629,0.93053,0.99222
227,11,775,0.96702,0.91658,0.93084,0.94449,0.91688,0.94948,1.06218,0.93542,0.99359
228,11,775,0.96896,0.92206,0.94948,0.92196,0.94341,0.9315,1.05796,0.93659,0.99087
229,11,775,0.96989,0.92329,0.9315,0.95623,0.92776,0.95239,1.05675,0.94197,0.99542
230,11,775,0.96629,0.92907,0.95239,0.94047,0.95428,0.93776,1.05541,0.94623,0.99866
231,11,775,0.96569,0.92909,0.93776,0.96197,0.9393,0.95212,1.05573,0.94779,1.00061
232,12,775,0.9665,0.90552,0.94017,0.92882,0.91252,0.94586,1.06893,0.93184,0.99607
233,12,775,0.96676,0.89854,0.94586,0.91272,0.92481,0.93537,1.07293,0.92969,0.9975
