Count,avg,ROI px,R1-R2,G1-G2,R1-G1,R1-G2,R2-G1,R2-G2,PCCcrtion,PCCmean,PCCcorrect
98,4,685,0.16832,0.18942,0.1639,0.19192,0.1629,0.20649,5.60051,0.1813,1.01538
99,4,679,0.14845,0.22619,0.18803,0.19392,0.14749,0.18697,5.45723,0.1791,0.97742
100,4,683,0.13893,0.22758,0.16743,0.15209,0.15445,0.16263,5.62392,0.15915,0.89504
101,4,686,0.12544,0.17879,0.14961,0.1013,0.12994,0.15379,6.67738,0.13366,0.89249
102,4,687,0.14114,0.17968,0.13909,0.13321,0.11268,0.12753,6.27956,0.12813,0.80459
103,4,685,0.17959,0.12631,0.11631,0.11086,0.10611,0.13645,6.63955,0.11743,0.77969
104,4,683,0.16172,0.13398,0.15867,0.12641,0.15973,0.11253,6.79373,0.13933,0.9466
105,4,686,0.25687,0.13158,0.10772,0.13245,0.14077,0.15083,5.43927,0.13294,0.7231
106,4,696,0.2041,0.11161,0.15224,0.11446,0.15874,0.12433,6.62563,0.13744,0.91066
107,4,678,0.21218,0.11804,0.10457,0.16776,0.10566,0.13953,6.31891,0.12938,0.81755
108,4,682,0.2086,0.15893,0.12652,0.16169,0.13787,0.14298,5.49217,0.14226,0.78134
109,4,681,0.17714,0.15914,0.11132,0.18261,0.16631,0.20537,5.9558,0.1664,0.99106
110,4,692,0.20308,0.14227,0.16572,0.15275,0.1431,0.14361,5.88304,0.1513,0.89008
111,4,684,0.20452,0.13838,0.11131,0.19553,0.19593,0.18865,5.9442,0.17286,1.0275
112,4,686,0.17196,0.10809,0.16164,0.22334,0.20723,0.12722,7.33502,0.17986,1.31927
113,5,725,0.25173,0.15512,0.20211,0.22106,0.18192,0.25964,5.06061,0.21618,1.09401
114,5,709,0.22228,0.1609,0.25778,0.2111,0.22556,0.25096,5.28776,0.23635,1.24976
115,5,719,0.24361,0.17248,0.27112,0.24545,0.22352,0.26635,4.87836,0.25161,1.22745
116,5,718,0.2142,0.1747,0.24188,0.27543,0.25664,0.2431,5.16949,0.25426,1.31441
117,5,712,0.2057,0.17781,0.25981,0.26492,0.23171,0.26882,5.22891,0.25632,1.34026
118,5,706,0.19416,0.12793,0.23233,0.2129,0.22759,0.2419,6.3451,0.22868,1.45101
119,5,715,0.1817,0.16703,0.20231,0.22598,0.19327,0.27222,5.74027,0.22344,1.28262
120,5,712,0.21158,0.18253,0.23807,0.20146,0.21097,0.23681,5.08856,0.22183,1.12878
121,5,721,0.18266,0.18286,0.21513,0.21322,0.19184,0.25314,5.47161,0.21833,1.19462
122,5,709,0.16769,0.23347,0.24785,0.22615,0.17547,0.228,5.05396,0.21937,1.10868
123,5,711,0.18437,0.25126,0.21596,0.2019,0.17966,0.22786,4.64614,0.20635,0.95872
124,5,716,0.1848,0.23061,0.22462,0.19768,0.17535,0.18726,4.84411,0.19623,0.95054
125,5,703,0.17993,0.2225,0.16867,0.19184,0.16049,0.16659,4.99781,0.1719,0.85911
126,5,712,0.17907,0.16839,0.16201,0.13389,0.19283,0.18903,5.75874,0.16944,0.97575
127,5,715,0.20446,0.2065,0.18569,0.17466,0.1573,0.15386,4.86676,0.16787,0.817
128,5,712,0.25616,0.17122,0.1447,0.1677,0.18083,0.20006,4.77498,0.17332,0.8276
129,5,712,0.22884,0.17544,0.1901,0.16697,0.21384,0.13854,4.99085,0.17736,0.88519
130,5,716,0.27422,0.15212,0.14097,0.19774,0.12475,0.20318,4.89615,0.16666,0.816
131,5,722,0.23864,0.17306,0.17229,0.17589,0.18423,0.1576,4.92072,0.1725,0.84884
132,5,708,0.22268,0.18051,0.11971,0.22103,0.15765,0.19458,4.98783,0.17324,0.86411
133,5,711,0.24719,0.17821,0.16527,0.21415,0.16747,0.15846,4.76456,0.17634,0.84017
134,5,701,0.25277,0.21424,0.13537,0.22604,0.23679,0.25664,4.29728,0.21371,0.91838
135,5,713,0.2196,0.11176,0.21769,0.21429,0.2018,0.16279,6.38311,0.19914,1.27115
136,6,737,0.27349,0.20124,0.26949,0.2695,0.25162,0.32172,4.26253,0.27808,1.18533
137,6,726,0.26048,0.18943,0.30724,0.27421,0.28469,0.25905,4.50182,0.2813,1.26635
138,6,728,0.2556,0.19437,0.27944,0.302,0.26364,0.29807,4.4864,0.28579,1.28217
139,6,736,0.23605,0.18782,0.26597,0.26469,0.27067,0.25207,4.74921,0.26335,1.25071
140,6,733,0.24287,0.22232,0.24647,0.29334,0.27189,0.33475,4.30358,0.28661,1.23346
141,6,721,0.24789,0.18167,0.29976,0.25708,0.25663,0.28511,4.71226,0.27464,1.29419
142,6,730,0.20202,0.19779,0.25453,0.23512,0.23181,0.29951,5.0026,0.25524,1.27687
143,6,727,0.21273,0.2597,0.28454,0.27045,0.20843,0.27892,4.25446,0.26058,1.10864
144,6,733,0.21857,0.23719,0.25793,0.20855,0.23588,0.28044,4.39193,0.2457,1.0791
145,6,735,0.20926,0.24871,0.27686,0.23727,0.21104,0.22489,4.38342,0.23752,1.04113
146,6,725,0.20947,0.24359,0.20529,0.23816,0.18846,0.23191,4.42704,0.21595,0.95604
147,6,736,0.23121,0.22505,0.22501,0.21201,0.23546,0.24931,4.38386,0.23045,1.01025
148,6,730,0.23655,0.25092,0.22454,0.23448,0.20498,0.19945,4.10455,0.21586,0.88603
149,6,731,0.25344,0.21927,0.20669,0.19307,0.25554,0.25162,4.24198,0.22673,0.96179
150,6,727,0.23952,0.22047,0.22048,0.20086,0.20075,0.17556,4.35166,0.19941,0.86777
151,6,724,0.26691,0.16763,0.15825,0.21228,0.17401,0.23728,4.7276,0.19546,0.92404
152,6,736,0.26172,0.20895,0.22643,0.21397,0.22841,0.17365,4.27625,0.21061,0.90064
153,6,729,0.27569,0.21529,0.16214,0.26221,0.1735,0.23379,4.10473,0.20791,0.85341
154,6,731,0.2902,0.20099,0.21893,0.21863,0.23068,0.16669,4.14063,0.20873,0.86428
155,6,724,0.28783,0.23998,0.15251,0.25497,0.22537,0.25377,3.80491,0.22165,0.84337
156,6,722,0.25515,0.1843,0.22284,0.27011,0.22339,0.19535,4.61138,0.22792,1.05103
157,7,738,0.28466,0.20689,0.28608,0.30804,0.27068,0.3368,4.12069,0.3004,1.23784
158,7,742,0.28688,0.21273,0.32971,0.27502,0.31156,0.27587,4.04798,0.29804,1.20646
159,7,743,0.29783,0.23749,0.2744,0.31701,0.29269,0.34978,3.75998,0.30847,1.15984
160,7,743,0.28684,0.22585,0.31561,0.28532,0.3031,0.28104,3.92894,0.29627,1.16401
161,7,748,0.26823,0.2408,0.28253,0.29343,0.29066,0.34502,3.93474,0.30291,1.19188
