Count,avg,ROI px,R1-R2,G1-G2,R1-G1,R1-G2,R2-G1,R2-G2,SRCcrtion,SRCmean,SRCcorrect
62,3,658,0.12675,0.08995,0.12899,0.13845,0.11751,0.11164,9.36552,0.12415,1.1627
63,3,644,0.12294,0.10495,0.09491,0.12744,0.0923,0.12912,8.80339,0.11094,0.97666
64,3,645,0.14258,0.10569,0.1498,0.132,0.11575,0.17598,8.14631,0.14338,1.16805
65,3,649,0.14334,0.08079,0.15115,0.16134,0.12811,0.13296,9.29272,0.14339,1.33252
66,3,638,0.09614,0.09592,0.14036,0.1506,0.11335,0.23385,10.41338,0.15954,1.66137
67,3,652,0.09745,0.08506,0.21532,0.1438,0.10733,0.19896,10.98373,0.16635,1.82718
68,3,643,0.08932,0.10183,0.17851,0.17521,0.1322,0.21722,10.4855,0.17578,1.84317
69,3,656,0.11867,0.0869,0.17609,0.16006,0.09782,0.13169,9.84751,0.14142,1.39263
70,3,636,0.09318,0.13143,0.14067,0.11324,0.14295,0.1387,9.03615,0.13389,1.20985
71,3,628,0.1432,0.14651,0.12996,0.16612,0.0965,0.17286,6.90379,0.14136,0.97589
72,3,641,0.12621,0.15155,0.14965,0.10322,0.15029,0.13622,7.23072,0.13485,0.97503
73,3,647,0.11007,0.15381,0.11629,0.15719,0.1428,0.13563,7.68548,0.13798,1.06041
74,3,631,0.06686,0.15757,0.12119,0.08473,0.09896,0.15417,9.74298,0.11476,1.11813
75,3,647,0.08701,0.17491,0.18544,0.10006,0.12421,0.13779,8.106,0.13688,1.10952
76,3,643,0.13328,0.11644,0.09228,0.07083,0.05266,0.09153,8.02723,0.07682,0.61669
77,3,628,0.07788,0.12723,0.08505,0.08535,0.1225,0.09,10.04597,0.09573,0.96165
78,3,646,0.14332,0.05383,0.09932,0.06643,0.0907,0.09023,11.38481,0.08667,0.98671
79,3,640,0.16977,0.08023,0.10324,0.09591,0.107,0.0789,8.56857,0.09626,0.82481
80,3,640,0.19486,0.09667,0.07983,0.12778,0.10244,0.09162,7.28598,0.10042,0.73165
81,3,651,0.17533,0.10156,0.08625,0.10232,0.13932,0.11643,7.49394,0.11108,0.83242
82,3,643,0.15507,0.10746,0.10449,0.14009,0.12264,0.14734,7.74671,0.12864,0.99655
83,3,638,0.15254,0.09204,0.10845,0.11673,0.08758,0.1203,8.43948,0.10827,0.91371
84,3,643,0.12047,0.10011,0.0823,0.14583,0.13874,0.15381,9.10576,0.13017,1.18531
85,3,633,0.15328,0.12671,0.09538,0.15782,0.12471,0.09203,7.17567,0.11748,0.84303
86,3,649,0.11057,0.09405,0.08696,0.14752,0.15644,0.15628,9.80638,0.1368,1.34152
87,3,650,0.09573,0.04004,0.12922,0.15228,0.10626,0.07818,16.15301,0.11649,1.88159
88,4,692,0.17126,0.1213,0.10445,0.15142,0.13724,0.21571,6.93803,0.15221,1.05601
89,4,693,0.20434,0.13871,0.22084,0.15618,0.18065,0.21802,5.93989,0.19392,1.15189
90,4,700,0.19926,0.1338,0.19397,0.19706,0.13139,0.19685,6.12438,0.17982,1.10126
91,4,688,0.1558,0.14151,0.19497,0.20073,0.1714,0.22767,6.73469,0.19869,1.33814
92,4,688,0.18305,0.16379,0.24017,0.21849,0.20035,0.24001,5.77523,0.22476,1.29801
93,4,690,0.1554,0.10878,0.22053,0.23648,0.19686,0.24569,7.69117,0.22489,1.72968
94,4,682,0.1374,0.10036,0.22085,0.17085,0.1465,0.20629,8.51549,0.18612,1.58492
95,4,684,0.14352,0.13563,0.17756,0.17773,0.16408,0.19822,7.16747,0.1794,1.28582
96,4,692,0.15893,0.13743,0.17368,0.18905,0.13272,0.21877,6.76632,0.17856,1.20816
97,4,678,0.16706,0.16935,0.17744,0.14815,0.20264,0.19512,5.94516,0.18084,1.07512
98,4,683,0.16666,0.18969,0.16197,0.19592,0.16174,0.20716,5.6242,0.1817,1.02191
99,4,677,0.14331,0.22541,0.19224,0.19639,0.15154,0.18941,5.56384,0.1824,1.01482
100,4,681,0.13615,0.22609,0.17175,0.15473,0.15596,0.16316,5.69967,0.1614,0.91993
101,4,683,0.12552,0.18344,0.15393,0.09611,0.12855,0.15364,6.59015,0.13306,0.87687
102,4,684,0.1375,0.18229,0.13864,0.13152,0.11139,0.12673,6.31632,0.12707,0.80262
103,4,681,0.18064,0.12973,0.11419,0.11432,0.10335,0.13752,6.53229,0.11734,0.76652
104,4,682,0.16156,0.13362,0.15935,0.12649,0.16207,0.11295,6.80587,0.14022,0.9543
105,4,685,0.25469,0.13184,0.10761,0.13456,0.14071,0.15305,5.45726,0.13398,0.73117
106,4,687,0.21433,0.11526,0.16136,0.1255,0.15528,0.13267,6.36242,0.1437,0.9143
